"","X","upper","lower","pred","obs","type","variable"
"6563",729,6.63186110030107,4.52332364548751,5.5775924,5.6,"Calibration","pH"
"6571",730,6.44283189624673,4.45719633251303,5.450014,5.39,"Calibration","pH"
"6581",731,10.0981554240208,5.92767007646751,8.012913,7.8,"Calibration","pH"
"6590",732,7.8227813073219,5.05199076451648,6.437386,6.56,"Calibration","pH"
"6599",733,6.36885439454784,4.42263711393604,5.3957458,5.4,"Calibration","pH"
"6608",734,5.73389954894473,4.0949130502374,4.9144063,5,"Calibration","pH"
"6617",735,6.18527133828929,4.33179943197438,5.2585354,5.3,"Calibration","pH"
"6626",736,6.39726199091882,4.41823254643469,5.4077473,5.6,"Calibration","pH"
"6635",737,7.57953560497751,4.96117484424124,6.270355,6.2,"Calibration","pH"
"6644",738,6.25518060927685,4.36096833939258,5.3080745,5.2,"Calibration","pH"
"6653",739,6.06434632358732,4.25722121181307,5.160784,5.2,"Calibration","pH"
"6663",740,9.77461095481648,5.8056865152763,7.7901487,7.7,"Calibration","pH"
"6671",741,7.04435317377404,4.66454918523475,5.854451,6.1,"Calibration","pH"
"6679",742,7.68800555393032,4.95498551204868,6.3214955,6.4,"Calibration","pH"
"6688",743,7.7766243850634,5.0239880645826,6.400306,6.5,"Calibration","pH"
"6698",744,7.57137130166413,4.96606041525482,6.268716,6.26,"Calibration","pH"
"6707",745,7.06488990194493,4.70046806924648,5.882679,5.9,"Calibration","pH"
"6715",746,4.64119659318176,3.54254306898865,4.09187,4,"Calibration","pH"
"6725",747,6.41067204612343,4.41726889473351,5.4139705,5.6,"Calibration","pH"
"6734",748,6.56146194457905,4.50167034149273,5.531566,5.6,"Calibration","pH"
"6743",749,6.59036807553587,4.47126312716189,5.5308156,5.5,"Calibration","pH"
"6752",750,7.53073354657908,4.96594575945119,6.2483397,6.3,"Calibration","pH"
"6761",751,7.79064791941092,5.05203682637765,6.4213424,6.7,"Calibration","pH"
"6769",752,5.9538538019229,4.23693542079439,5.0953946,5.2,"Calibration","pH"
"6779",753,7.15449193218805,4.76799246570013,5.961242,5.96,"Calibration","pH"
"6788",754,5.34465661552726,3.93380102607431,4.639229,4.7,"Calibration","pH"
"6797",755,6.28825562370276,4.38895613777185,5.338606,5.4,"Calibration","pH"
"6806",756,9.7012778876887,5.81023296131033,7.7557554,7.7,"Calibration","pH"
"6815",757,6.16328491903758,4.28056273721242,5.221924,5.1,"Calibration","pH"
"6824",758,7.1366311930515,4.71724110614283,5.926936,6,"Calibration","pH"
"6833",759,6.71775877222529,4.56114614263067,5.6394525,5.6,"Calibration","pH"
"6842",760,6.61338144944679,4.50907986952293,5.5612307,5.59,"Calibration","pH"
"6851",761,6.30824096565238,4.38588420982369,5.3470626,5.3,"Calibration","pH"
"6860",762,7.54520475141146,4.94801557787321,6.24661,6.33,"Calibration","pH"
"6869",763,6.47715735714614,4.43700909335435,5.457083,5.5,"Calibration","pH"
"6878",764,7.88723004355093,5.13381850228647,6.5105243,6.3,"Calibration","pH"
"6887",765,6.97770816728444,4.67127292707591,5.8244905,5.8,"Calibration","pH"
"6896",766,9.95875439681008,5.94806303940818,7.9534087,8,"Calibration","pH"
"6904",767,6.42056528369863,4.41650041301768,5.418533,5.4,"Calibration","pH"
"6914",768,8.29952784719681,5.23426846322799,6.766898,6.7,"Calibration","pH"
"6923",769,7.15027156939186,4.77203067670189,5.961151,5.99,"Calibration","pH"
"6932",770,6.26170641944389,4.37472908928413,5.3182178,5.2,"Calibration","pH"
"6940",771,7.83237447326254,5.09817037994791,6.4652724,6.8,"Calibration","pH"
"6950",772,6.78595324782425,4.589032447061,5.687493,5.8,"Calibration","pH"
"6959",773,8.32087506671253,5.25886355023083,6.7898693,6.7,"Calibration","pH"
"6968",774,5.88758607680074,4.20416883652933,5.0458775,5,"Calibration","pH"
"6977",775,6.38716652887539,4.4255308817081,5.4063487,5.4,"Calibration","pH"
"6986",776,5.77767645542292,4.15863622005315,4.9681563,4.9,"Calibration","pH"
"6995",777,6.61580519817135,4.52131886341312,5.568562,5.6,"Calibration","pH"
"7004",778,7.8038687170582,5.05385261167715,6.4288607,6.5,"Calibration","pH"
"7013",779,6.12791377760632,4.31170814774768,5.219811,5.1,"Calibration","pH"
"7022",780,6.89025506419338,4.64679804402195,5.7685266,5.7,"Calibration","pH"
"7031",781,6.02712647675689,4.27010901213471,5.1486177,5.1,"Calibration","pH"
"7040",782,6.52301503980116,4.49264619982287,5.5078306,5.4,"Calibration","pH"
"7049",783,7.11043201597983,4.75360645142739,5.932019,5.97,"Calibration","pH"
"7058",784,7.21402411714331,4.80261654600366,6.0083203,6,"Calibration","pH"
"7067",785,5.92055168396088,4.22027835601714,5.070415,5.1,"Calibration","pH"
"7076",786,6.58441169952418,4.54185191894506,5.563132,5.6,"Calibration","pH"
"7085",787,7.11031639603329,4.74970233413029,5.9300094,6.08,"Calibration","pH"
"7094",788,8.02984480822679,5.16863007580642,6.5992374,6.7,"Calibration","pH"
"7103",789,5.33138851223727,3.91456886233548,4.6229787,4.6,"Calibration","pH"
"7112",790,6.55960731131898,4.4848949469818,5.522251,5.6,"Calibration","pH"
"7121",791,5.80413348557331,4.12589924452923,4.9650164,5.1,"Calibration","pH"
"7130",792,6.94904709156004,4.57112216655763,5.7600846,5.7,"Calibration","pH"
"7139",793,7.43923618420818,4.87838504687092,6.1588106,6.2,"Calibration","pH"
"7148",794,7.77039838494417,5.07184004126432,6.421119,6.8,"Calibration","pH"
"7157",795,7.84859940426316,5.14611628634964,6.497358,6.7,"Calibration","pH"
"7166",796,5.74655478787018,4.14647728610443,4.946516,5,"Calibration","pH"
"7175",797,5.92926895250998,4.2258700169114,5.0775695,5.2,"Calibration","pH"
"7184",798,7.24201404705364,4.83111751422566,6.036566,6,"Calibration","pH"
"7193",799,5.94112481074915,4.22940169376746,5.0852633,5,"Calibration","pH"
"7202",800,6.86589057969582,4.66228286695945,5.7640867,5.9,"Calibration","pH"
"7211",801,6.22255354773879,4.32647389519334,5.2745137,5.3,"Calibration","pH"
"7220",802,5.91423379644518,4.21487177148695,5.064553,5.1,"Calibration","pH"
"7229",803,6.48292608896916,4.4445040639239,5.463715,5.4,"Calibration","pH"
"7238",804,5.67439016284074,4.09529462872421,4.8848424,4.9,"Calibration","pH"
"7247",805,7.7829942474167,5.01762869264677,6.4003115,6.6,"Calibration","pH"
"7256",806,5.59151534982476,4.01867599539009,4.8050957,4.8,"Calibration","pH"
"7265",807,6.28062183463908,4.37587516700887,5.3282485,5.5,"Calibration","pH"
"7274",808,5.93079522977422,4.20066305269649,5.065729,5.2,"Calibration","pH"
"7283",809,7.67946250503549,5.02219002181998,6.3508263,6.4,"Calibration","pH"
"7292",810,6.98918323390669,4.69041843540484,5.839801,5.88,"Calibration","pH"
"7301",811,5.79390091260866,4.16715675035521,4.980529,5,"Calibration","pH"
"7310",812,6.26070660413018,4.37115889727363,5.3159328,5.4,"Calibration","pH"
"7319",813,5.96353619381636,4.24268252566606,5.1031094,5,"Calibration","pH"
"7328",814,8.23443427104854,5.22603116016484,6.7302327,6.7,"Calibration","pH"
"7337",815,7.95952025301881,5.14184579007201,6.550683,6.6,"Calibration","pH"
"7346",816,6.25869279861933,4.22613710402959,5.242415,5.4,"Calibration","pH"
"7355",817,7.88028385430999,5.07498119085603,6.4776325,6.6,"Calibration","pH"
"7364",818,7.56556307994295,4.98871147907805,6.2771373,6.2,"Calibration","pH"
"7373",819,6.99546938799128,4.70641392804876,5.8509417,6,"Calibration","pH"
"7382",820,6.85016113617785,4.63309043547742,5.741626,5.7,"Calibration","pH"
"7391",821,6.33916186737861,4.39853096556816,5.3688464,5.3,"Calibration","pH"
"7400",822,7.96503946969678,5.08114125540088,6.5230904,6.6,"Calibration","pH"
"7409",823,6.15185994703474,4.30855780046282,5.230209,5.2,"Calibration","pH"
"7418",824,5.67614016059267,4.06309094902647,4.8696156,4.7,"Calibration","pH"
"7427",825,6.33848095284158,4.37449550284689,5.356488,5.3,"Calibration","pH"
"7436",826,7.40038156288376,4.84264707786331,6.1215143,6.1,"Calibration","pH"
"7445",827,6.97906362226907,4.62378538438376,5.8014245,6,"Calibration","pH"
"7454",828,7.57788154531309,4.91870430063417,6.248293,6.2,"Calibration","pH"
"7463",829,6.87804595515541,4.61077221348473,5.744409,5.6,"Calibration","pH"
"7472",830,7.0338820174619,4.69838631597316,5.866134,5.9,"Calibration","pH"
"7481",831,5.81813886444358,4.17994043548317,4.9990396,4.9,"Calibration","pH"
"7490",832,6.56657902238156,4.48721202376101,5.5268955,5.4,"Calibration","pH"
"7499",833,8.2161961708909,5.23898781195822,6.727592,6.6,"Calibration","pH"
"7508",834,7.31226121615064,4.84911573697436,6.0806885,5.8,"Calibration","pH"
"7517",835,7.57136030110417,4.9606612214178,6.2660108,6.32,"Calibration","pH"
"7526",836,6.36292080130288,4.40232845101646,5.3826246,5.4,"Calibration","pH"
"7535",837,6.16006715972736,4.31825296203778,5.23916,5.2,"Calibration","pH"
"7544",838,5.76535066732017,4.10799852243813,4.9366746,4.7,"Calibration","pH"
"7553",839,5.88888221381737,4.20331043602394,5.0460963,5.1,"Calibration","pH"
"7562",840,6.02840008043268,4.19306312299749,5.1107316,5,"Calibration","pH"
"7570",841,6.73513754593533,4.55723515761691,5.6461864,5.5,"Calibration","pH"
"7579",842,4.45564679060971,3.35247870530093,3.9040627,3.9,"Calibration","pH"
"7588",843,6.96559411909666,4.70609205338869,5.835843,6,"Calibration","pH"
"7598",844,7.88871575559761,5.09059332643364,6.4896545,6.6,"Calibration","pH"
"7607",845,7.47544408032121,4.90694975665389,6.191197,6.2,"Calibration","pH"
"7616",846,6.91796493799554,4.64643001287116,5.7821975,5.9,"Calibration","pH"
"7625",847,6.03416738353148,4.27153959431276,5.1528535,5.1,"Calibration","pH"
"7634",848,6.83354662766985,4.61417771467634,5.723862,5.7,"Calibration","pH"
"7643",849,7.55296099933938,4.96319424358054,6.2580776,6.2,"Calibration","pH"
"7652",850,6.77746995638619,4.5820147161602,5.6797423,5.8,"Calibration","pH"
"7661",851,5.83424984227802,4.12102378595685,4.977637,5.1,"Calibration","pH"
"7670",852,6.54509832478282,4.43006513499502,5.4875817,5.4,"Calibration","pH"
"7679",853,6.63058822639843,4.47442180625538,5.552505,5.7,"Calibration","pH"
"7688",854,10.9947622278079,6.47958202573213,8.737172,8.9,"Calibration","pH"
"7697",855,6.07008084550573,4.28863516554163,5.179358,5.2,"Calibration","pH"
"7706",856,6.62037057632835,4.51361971145241,5.566995,5.5,"Calibration","pH"
"7715",857,7.38363868925665,4.84259383942987,6.1131163,6.1,"Calibration","pH"
"7724",858,6.8249539430144,4.58188161301588,5.703418,5.7,"Calibration","pH"
"7733",859,10.3268787092924,6.05061991741658,8.188749,8,"Calibration","pH"
"7742",860,8.84747660967425,5.57821404126569,7.2128453,7.5,"Calibration","pH"
"7750",861,4.89109562514992,3.59103061081199,4.241063,4.2,"Calibration","pH"
"7760",862,6.88364433553299,4.62023521158615,5.75194,5.7,"Calibration","pH"
"7769",863,7.15996186884427,4.75705797521091,5.95851,6,"Calibration","pH"
"7778",864,10.3969051161332,6.07273370832972,8.234819,8.2,"Calibration","pH"
"7787",865,5.72914643976048,4.11342386511012,4.921285,5,"Calibration","pH"
"7796",866,10.3050788439841,6.05217518433626,8.178627,8,"Calibration","pH"
"7804",867,5.30131579780781,3.88221691703594,4.5917664,4.5,"Calibration","pH"
"7813",868,6.60530553123977,4.51753725745652,5.5614214,5.6,"Calibration","pH"
"7822",869,7.29148215256233,4.82305127181511,6.0572667,6.2,"Calibration","pH"
"7832",870,7.28213076695627,4.7685675133782,6.025349,6,"Calibration","pH"
"7841",871,7.80686331446095,5.01468800847606,6.4107757,6.4,"Calibration","pH"
"7850",872,6.56500229517011,4.5041543515584,5.5345783,5.5,"Calibration","pH"
"7859",873,5.99700718261499,4.23359794281225,5.1153026,5.2,"Calibration","pH"
"7868",874,7.02280740372845,4.70421762831501,5.8635125,5.8,"Calibration","pH"
"7877",875,6.60786465189772,4.5230948589055,5.5654798,5.5,"Calibration","pH"
"7886",876,6.40781763162233,4.42608854208372,5.416953,5.5,"Calibration","pH"
"7894",877,6.29827517618106,4.36487084280087,5.331573,5.4,"Calibration","pH"
"7904",878,6.20315655459845,4.34097090969599,5.2720637,5.2,"Calibration","pH"
"7912",879,7.9394876334979,5.10717469712954,6.523331,6.2,"Calibration","pH"
"7922",880,6.43615664998608,4.45434151132984,5.445249,5.4,"Calibration","pH"
"7931",881,7.68816954372422,5.02110284091933,6.354636,6.3,"Calibration","pH"
"7940",882,6.23668559420411,4.36161438595947,5.29915,5.3,"Calibration","pH"
"7949",883,5.88572472340857,4.2058613895675,5.045793,5.2,"Calibration","pH"
"7958",884,5.1182885423181,3.78543803544069,4.4518633,4.3,"Calibration","pH"
"7967",885,5.86727801645977,4.19634159718769,5.03181,4.9,"Calibration","pH"
"7975",886,5.70920301723699,4.12331651401301,4.91626,4.8,"Calibration","pH"
"7985",887,6.44669415532704,4.43435786188488,5.440526,5.5,"Calibration","pH"
"7993",888,4.99988998556348,3.67877136087206,4.3393307,4.3,"Calibration","pH"
"8002",889,6.09731762992234,4.29862124336867,5.1979694,4.9,"Calibration","pH"
"8011",890,6.24789533121312,4.34921064870632,5.298553,5.2,"Calibration","pH"
"8020",891,7.33555296151217,4.83791658194486,6.086735,6.1,"Calibration","pH"
"8030",892,6.37519126989309,4.37393993280466,5.3745656,5.3,"Calibration","pH"
"8039",893,4.86534605293361,3.65341558189305,4.259381,4.2,"Calibration","pH"
"8048",894,6.29152007863616,4.35184292032624,5.3216815,5.6,"Calibration","pH"
"8056",895,5.89520668520895,4.2113578365806,5.0532823,5.1,"Calibration","pH"
"8066",896,8.47714748381752,5.29210052491051,6.884624,6.8,"Calibration","pH"
"8074",897,6.14901908115825,4.3080846480898,5.228552,5.3,"Calibration","pH"
"8084",898,5.99817812015883,4.2561544222606,5.1271663,5.2,"Calibration","pH"
"8093",899,5.73774794511112,4.1356374842712,4.9366927,4.8,"Calibration","pH"
"8102",900,6.04263095256709,4.27795239093877,5.1602917,5.1,"Calibration","pH"
"8110",901,6.91490052080657,4.68466021680329,5.7997804,5.9,"Calibration","pH"
"8119",902,7.90195336464655,5.12665400382268,6.5143037,6.42,"Calibration","pH"
"8129",903,6.86014464921695,4.62440868788022,5.7422767,5.8,"Calibration","pH"
"8138",904,5.74850212214508,4.14589561345062,4.947199,5,"Calibration","pH"
"8147",905,6.57414984442786,4.51989770195886,5.547024,5.4,"Calibration","pH"
"8156",906,7.14611492225873,4.77687492301715,5.961495,5.9,"Calibration","pH"
"8164",907,8.78284307411251,5.36702016899051,7.0749316,7.1,"Calibration","pH"
"8174",908,6.37479115760423,4.36521719658278,5.370004,5.3,"Calibration","pH"
"8182",909,6.24010826418473,4.31387637784407,5.2769923,5.3,"Calibration","pH"
"8192",910,7.79133928625692,5.03751813561808,6.4144287,6.6,"Calibration","pH"
"8201",911,5.55083595252883,4.04301799797166,4.796927,4.8,"Calibration","pH"
"8210",912,6.39021640840878,4.41704219754826,5.4036293,5.5,"Calibration","pH"
"8219",913,7.39834955480001,4.84160443995097,6.119977,6.2,"Calibration","pH"
"8228",914,8.38128986210617,5.32325801997391,6.852274,7,"Calibration","pH"
"8237",915,6.7091693433078,4.59755806605499,5.6533637,5.8,"Calibration","pH"
"8246",916,5.46695904188026,3.99347205705773,4.7302155,4.6,"Calibration","pH"
"8255",917,5.63464933770822,4.0658263550408,4.850238,4.9,"Calibration","pH"
"8264",918,8.15365606401829,5.22277444745632,6.6882153,6.7,"Calibration","pH"
"8273",919,6.14396874559372,4.30618269788772,5.2250757,5.3,"Calibration","pH"
"8282",920,5.77770646048052,4.1526619629814,4.965184,5,"Calibration","pH"
"8291",921,6.26179433696105,4.374996892287,5.3183956,5.3,"Calibration","pH"
"8300",922,8.5231467420596,5.36790645770847,6.9455266,6.8,"Calibration","pH"
"8309",923,6.63227192186094,4.52604182935976,5.579157,5.6,"Calibration","pH"
"8318",924,10.7619678576284,6.32177809879246,8.541873,8.5,"Calibration","pH"
"8326",925,5.89881629181915,4.17818241881318,5.0384994,5.2,"Calibration","pH"
"8336",926,8.24634079094712,5.26845260504897,6.7573967,7,"Calibration","pH"
"8345",927,6.76431263939977,4.56546507819056,5.664889,5.7,"Calibration","pH"
"8353",928,6.19555960727951,4.31111897395828,5.2533393,5.2,"Calibration","pH"
"8363",929,6.2000087961932,4.34211976673405,5.2710643,5.3,"Calibration","pH"
"8372",930,8.32518979326473,5.32388476117863,6.8245373,6.8,"Calibration","pH"
"8381",931,5.68132060826616,4.1067510241191,4.894036,4.9,"Calibration","pH"
"8390",932,7.9623241504155,5.12172888913528,6.5420265,6.6,"Calibration","pH"
"8398",933,4.80027370439591,3.59838314069686,4.1993284,4.2,"Calibration","pH"
"8408",934,10.772740663321,6.30213039991138,8.537436,8.6,"Calibration","pH"
"8417",935,7.35081466996474,4.87442794478135,6.1126213,6.1,"Calibration","pH"
"8426",936,8.75992729143049,5.47815177961443,7.1190395,7.2,"Calibration","pH"
"8435",937,5.61899143626283,4.04939216206481,4.834192,4.8,"Calibration","pH"
"8443",938,6.92293976653174,4.63630438935205,5.779622,5.6,"Calibration","pH"
"8452",939,6.79128965718064,4.60458436625686,5.697937,5.8,"Calibration","pH"
"8462",940,5.9373422111077,4.22664876331857,5.0819955,5.1,"Calibration","pH"
"8471",941,5.42215545549582,3.91472618207742,4.668441,4.5,"Calibration","pH"
"8480",942,6.52408013222941,4.47123923422567,5.4976597,5.5,"Calibration","pH"
"8488",943,6.47171020984074,4.46282386303523,5.467267,5.5,"Calibration","pH"
"8498",944,7.67334740394887,4.98071963554087,6.3270335,6.4,"Calibration","pH"
"8506",945,6.23536556626198,4.33937293624046,5.2873693,5.2,"Calibration","pH"
"8516",946,6.26039863466231,4.3574173367122,5.308908,5.2,"Calibration","pH"
"8525",947,5.82123477291473,4.16826431918732,4.9947495,5,"Calibration","pH"
"8534",948,7.1852857139765,4.79915127485407,5.9922185,6,"Calibration","pH"
"8543",949,7.42241777548858,4.89943681588105,6.1609273,6.25,"Calibration","pH"
"8552",950,6.5323033909828,4.48095745038683,5.5066304,5.6,"Calibration","pH"
"8561",951,7.74496980001095,5.00572638224003,6.375348,6.4,"Calibration","pH"
"8570",952,6.6878311973139,4.5381848473028,5.613008,5.5,"Calibration","pH"
"8579",953,7.16315831433795,4.7790995668266,5.971129,5.83,"Calibration","pH"
"8588",954,8.85731082631814,5.54452842996848,7.2009196,7.2,"Calibration","pH"
"8596",955,4.89557239523806,3.69036319741331,4.292968,4.3,"Calibration","pH"
"8606",956,6.22075671631302,4.34671478789841,5.2837358,5.3,"Calibration","pH"
"8615",957,6.43361946908846,4.44081690939055,5.437218,5.4,"Calibration","pH"
"8623",958,6.55097751959384,4.49246711389005,5.5217223,5.4,"Calibration","pH"
"8633",959,7.4120456350294,4.9010122644457,6.156529,6.1,"Calibration","pH"
"8642",960,4.70085584739021,3.56035840889641,4.130607,4.1,"Calibration","pH"
"8651",961,6.75740523394122,4.59606652204022,5.676736,5.7,"Calibration","pH"
"8659",962,5.83232409038066,4.17194932423116,5.0021367,5.1,"Calibration","pH"
"8668",963,7.25989421917761,4.78795829699671,6.0239263,6.1,"Calibration","pH"
"8677",964,8.26916249256858,5.27288977641335,6.771026,6.65,"Calibration","pH"
"8686",965,7.53039137733406,4.93861706840569,6.234504,6.38,"Calibration","pH"
"8696",966,7.0044253577875,4.66931979754698,5.8368726,5.8,"Calibration","pH"
"8705",967,6.35410104423047,4.41772665352344,5.385914,5.4,"Calibration","pH"
"8714",968,8.05750364059254,5.17173200851635,6.614618,6.59,"Calibration","pH"
"8723",969,7.92631904080042,5.12746246859899,6.5268908,6.5,"Calibration","pH"
"8732",970,7.13160340589685,4.7371681471427,5.934386,6,"Calibration","pH"
"8741",971,6.8736084183438,4.588974169852,5.7312913,6.1,"Calibration","pH"
"8749",972,6.25943545981003,4.35316677407669,5.306301,5.3,"Calibration","pH"
"8759",973,5.29948615227738,3.92121125067672,4.6103487,4.6,"Calibration","pH"
"8768",974,7.42155625851118,4.87731668918169,6.1494365,6.08,"Calibration","pH"
"8777",975,5.47988019395953,4.00728144239301,4.743581,4.7,"Calibration","pH"
"8786",976,8.97522373155072,5.5379722599654,7.256598,7.4,"Calibration","pH"
"8795",977,6.85295831731889,4.56428754754927,5.708623,5.8,"Calibration","pH"
"8804",978,7.87679443756416,5.09400977691338,6.485402,6.5,"Calibration","pH"
"8813",979,6.63384382785346,4.45515687405083,5.5445004,5.6,"Calibration","pH"
"8822",980,6.30718830993209,4.3941456897017,5.350667,5.5,"Calibration","pH"
"8830",981,8.46636158749053,5.37338679507783,6.919874,7.1,"Calibration","pH"
"8839",982,6.74202043827005,4.5500385064321,5.6460295,5.8,"Calibration","pH"
"8849",983,6.92426946291715,4.64374182095736,5.7840056,5.8,"Calibration","pH"
"8857",984,6.10575949982091,4.26995861693935,5.187859,5.4,"Calibration","pH"
"8867",985,6.30969658764447,4.3970943364278,5.3533955,5.4,"Calibration","pH"
"8875",986,6.33036103459725,4.38484129694572,5.357601,5.2,"Calibration","pH"
"8885",987,6.38698882562162,4.42259960669039,5.404794,5.4,"Calibration","pH"
"8894",988,6.08081331099574,4.28283510361608,5.181824,5.3,"Calibration","pH"
"8903",989,8.78434935081358,5.41963300239687,7.101991,7.2,"Calibration","pH"
"8911",990,6.06718731067633,4.28447055675531,5.175829,5.2,"Calibration","pH"
"8921",991,8.25496300409536,5.27647773076792,6.7657204,6.8,"Calibration","pH"
"8930",992,7.17233577247363,4.77802452568311,5.97518,6.1,"Calibration","pH"
"8938",993,6.14278532978768,4.31789944651848,5.2303424,5.3,"Calibration","pH"
"8948",994,6.79381160262259,4.57725544449655,5.6855335,5.6,"Calibration","pH"
"8957",995,10.2351281112638,6.05643110809659,8.14578,8.1,"Calibration","pH"
"8966",996,7.16801488352441,4.7410894637046,5.954552,6.1,"Calibration","pH"
"8974",997,6.92069622417613,4.57758906940297,5.7491426,5.7,"Calibration","pH"
"8983",998,5.2968159546123,3.84724322660108,4.5720296,4.7,"Calibration","pH"
"8993",999,5.64731345668861,4.1020943115609,4.874704,5,"Calibration","pH"
"9002",1000,6.42629717804253,4.42075253509223,5.423525,5.4,"Calibration","pH"
"9011",1001,6.66187666656666,4.54292298553294,5.6024,5.7,"Calibration","pH"
"9020",1002,6.66004392193625,4.53860357714823,5.5993237,5.68,"Calibration","pH"
"9029",1003,6.64835900303929,4.50127154353053,5.5748153,5.7,"Calibration","pH"
"9038",1004,5.23649725772312,3.85259499691555,4.544546,4.4,"Calibration","pH"
"9046",1005,4.0667024612127,3.18595304492133,3.6263278,3.6,"Calibration","pH"
"9052",1006,6.79386262356241,4.59328337253134,5.693573,5.7,"Calibration","pH"
"9058",1007,6.16156848697147,4.32650486202756,5.2440367,5.4,"Calibration","pH"
"9064",1008,6.80472693535689,4.5879961481392,5.6963615,5.71,"Calibration","pH"
"9070",1009,4.72314473823991,3.57107904716048,4.147112,4.1,"Calibration","pH"
"9077",1010,6.40807356514907,4.41136823020005,5.409721,5.5,"Calibration","pH"
"9082",1011,7.2959069038786,4.82322418437824,6.0595655,6.1,"Calibration","pH"
"9089",1012,5.37295201167437,3.97443911686566,4.6736956,4.6,"Calibration","pH"
"9095",1013,7.44627754203427,4.91701324470889,6.1816454,6.1,"Calibration","pH"
"9101",1014,6.64848003702859,4.48482169789573,5.566651,5.5,"Calibration","pH"
"9107",1015,7.90431315787101,5.09746258370614,6.500888,6.6,"Calibration","pH"
"9113",1016,5.83056356045787,4.18087290194448,5.005718,5,"Calibration","pH"
"9119",1017,7.3344450932472,4.85749807539294,6.0959716,6.14,"Calibration","pH"
"9125",1018,6.53789649762141,4.48140396319402,5.50965,5.51,"Calibration","pH"
"9130",1019,5.304211998645,3.8984189980591,4.6013155,4.6,"Calibration","pH"
"9137",1020,6.06241566944555,4.26252978038355,5.1624727,5.3,"Calibration","pH"
"9142",1021,5.82012182687879,4.17248719716906,4.9963045,4.9,"Calibration","pH"
"9148",1022,6.29318522066422,4.38307858853988,5.338132,5.5,"Calibration","pH"
"9154",1023,5.99792958601653,4.12295435563386,5.060442,5.1,"Calibration","pH"
"9161",1024,6.34175125971133,4.40392668828671,5.372839,5.4,"Calibration","pH"
"9167",1025,6.43163022597008,4.4200066606266,5.4258184,5.5,"Calibration","pH"
"9172",1026,4.80019641159068,3.59462189437855,4.197409,4.3,"Calibration","pH"
"9178",1027,6.96096388247972,4.685010276761,5.822987,5.9,"Calibration","pH"
"9184",1028,4.85773543646169,3.63647194574046,4.2471037,4.2,"Calibration","pH"
"9190",1029,5.49085136617487,3.98070911203557,4.7357802,4.8,"Calibration","pH"
"9197",1030,6.63007147634654,4.40653054391713,5.518301,5.5,"Calibration","pH"
"9203",1031,7.46609475416288,4.90174792009249,6.1839213,6.3,"Calibration","pH"
"9209",1032,7.31925364953069,4.84994534033748,6.0845995,6.4,"Calibration","pH"
"9214",1033,6.21909354497672,4.35505940149545,5.2870765,5.2,"Calibration","pH"
"9220",1034,6.23039893783508,4.34031410537781,5.2853565,5.3,"Calibration","pH"
"9227",1035,7.78611117703556,4.99428337710262,6.3901973,6.5,"Calibration","pH"
"9233",1036,6.76745170615323,4.57888370491855,5.6731677,5.8,"Calibration","pH"
"9238",1037,6.03172195441827,4.24104701988593,5.1363845,5.1,"Calibration","pH"
"9245",1038,6.02379271657834,4.25767662851444,5.1407347,5.2,"Calibration","pH"
"9251",1039,6.59500140499183,4.50122624088219,5.548114,5.4,"Calibration","pH"
"9257",1040,5.96030620837733,4.21790405010656,5.089105,5.2,"Calibration","pH"
"9263",1041,6.3499813173628,4.37793158546923,5.3639565,5.5,"Calibration","pH"
"9269",1042,7.7944636914213,5.07496017485067,6.434712,6.5,"Calibration","pH"
"9275",1043,6.02465550137736,4.2691534356954,5.1469045,5.2,"Calibration","pH"
"9281",1044,5.94548362827802,4.22798782252764,5.0867357,5.1,"Calibration","pH"
"9286",1045,8.13291349279923,5.20751390588241,6.6702137,6.7,"Calibration","pH"
"9293",1046,7.06374543783489,4.67931562783894,5.8715305,6,"Calibration","pH"
"9299",1047,7.16663986002169,4.77679771627225,5.971719,5.94,"Calibration","pH"
"9304",1048,9.34716927834575,5.71142351797993,7.5292964,7.4,"Calibration","pH"
"9311",1049,6.93401060590139,4.54018392077097,5.7370973,5.8,"Calibration","pH"
"9316",1050,8.66910226040918,5.3716272622959,7.0203648,7,"Calibration","pH"
"9323",1051,5.86509868574735,4.18635204362277,5.0257254,5.1,"Calibration","pH"
"9328",1052,5.68358080870533,4.05882794373607,4.8712044,4.6,"Calibration","pH"
"9334",1053,6.29950366742706,4.39281524889374,5.3461595,5.3,"Calibration","pH"
"9341",1054,6.34081585304213,4.39854495628404,5.3696804,5.4,"Calibration","pH"
"9347",1055,5.96442648410941,4.2328334188447,5.09863,5,"Calibration","pH"
"9353",1056,6.32953478892939,4.38080475727423,5.35517,5.4,"Calibration","pH"
"9359",1057,7.1419782452792,4.79404260585605,5.9680104,6,"Calibration","pH"
"9365",1058,6.12277707208156,4.28716269384861,5.20497,5.4,"Calibration","pH"
"9371",1059,5.27913103282777,3.89622583210143,4.5876784,4.6,"Calibration","pH"
"9377",1060,7.64423664292011,4.92077914992657,6.282508,6.5,"Calibration","pH"
"9383",1061,6.23457159430683,4.33843217461407,5.286502,5.3,"Calibration","pH"
"9389",1062,6.16956422201749,4.33447840340976,5.2520213,5.3,"Calibration","pH"
"9395",1063,5.34220200713066,3.89128607575509,4.616744,4.6,"Calibration","pH"
"9401",1064,6.66793640981694,4.52182761301021,5.594882,5.5,"Calibration","pH"
